state,year,gini,bachelors_or_higher_percent,management_percent,income_median,income_mean,population,male_percent,age_median,white_percent,population_density,search_interest
Texas,2007,47.299998998642,25.2,33,47548,6.6392,23904380,49.8,33.2,71.6,0.914936426759799,45.7
Utah,2007,40.900000929832494,28.7,33.3,55109,6.9014,2645330,50.5,28.4,91.9,0.32112539711534077,53.3
Vermont,2007,42.800000309944195,33.6,39.4,49907,6.3922,621254,49.1,40.6,97.7,0.6740122558757291,100
Virginia,2007,45.6000000238419,33.6,40.5,59562,7.9711,7712091,49.1,37,71.8,1.9533124987293338,49.4
Washington,2007,44.400000572204604,30.3,37.2,55591,7.2751,6468424,49.9,37.1,83.7,0.9733466265112988,70.9
West Virginia,2007,45.3999996185303,17.3,30,37060,4.906,1812035,49.1,40.4,95.5,0.7537221913733666,38.9
Wisconsin,2007,42.800000309944195,25.4,32.5,50578,6.3726,5601640,49.7,38,88.5,1.0341393475441607,56.7
Wyoming,2007,43.7000006437302,23.4,30.4,51731,6.7721,522830,51,36.9,94.3,0.053850728470436114,43.9
Alabama,2008,46.7,22,30.8,42666,5.7957,4661900,48.5,37.4,70.3,0.9204666738731595,40.6
Alaska,2008,40.300000000000004,27.3,34.1,68460,8.3423,686293,52.1,33,69.1,0.012018657198996734,56.7
Arizona,2008,45.300000000000004,25.1,32.9,50958,6.8066,6500180,50.1,35.1,80.1,0.5719242317939698,58
Arkansas,2008,45.9,18.8,29.4,38815,5.2592,2855390,49,37.3,78.7,0.5491893649643913,44.1
California,2008,47.3,29.6,35.8,61021,8.4275,36756666,50,34.9,62.5,2.3583351153047074,68
Colorado,2008,45.7,35.6,38.1,56993,7.6462,4939456,50.4,35.8,84.7,0.476610896192722,63.3
Connecticut,2008,48.6,35.6,40.2,68595,9.5881,3501252,48.8,39.3,80.1,7.230445585315906,63.1
Delaware,2008,44.7,27.5,36.8,57989,7.5833,873092,48.4,38.3,72.7,4.480717614545663,54.2
District of Columbia,2008,54,48.2,55.6,57936,9.3118,591833,47.3,34.9,37.5,96.82149831463066,62.4
Florida,2008,47.099999999999994,25.8,32.8,47778,6.6493,18328340,49.1,40.3,77.6,3.416061773428623,50.7
Georgia,2008,46.7,27.5,34.5,50861,6.885,9685744,49.2,35,61.9,1.6781408974077852,45.8
Hawaii,2008,42.8,29.1,33,67214,8.3522,1288198,50.4,38.3,27.1,2.005764088691294,68.6
Idaho,2008,41.9,24,32.2,47576,5.9429,1523816,50.3,34.4,92.7,0.18438059256756148,51.4
Illinois,2008,46.7,29.9,35.1,56235,7.5744,12901564,49.2,36,72.7,2.324052829696896,66.3
Indiana,2008,43.7,22.9,31.9,47966,6.1739,6376792,49.2,36.8,85.7,1.779925503181424,52.1
Iowa,2008,42.8,24.3,32.8,48980,6.1865,3002557,49.3,38.2,92.7,0.5375779018653738,51
Kansas,2008,44.2,29.6,35.6,50177,6.5446,2802134,49.6,36.2,86.2,0.3427327663657877,47.7
Kentucky,2008,46.7,19.7,30.6,41538,5.5756,4269245,48.9,37.8,89.1,1.0810489787098252,52.7
Louisiana,2008,47.699999999999996,20.3,30.8,43733,6.0616,4410796,48.5,35.9,64,1.0207642266466876,38.9
Maine,2008,43.6,25.4,32.8,46581,5.9598,1316456,48.7,41.9,95.8,0.42679678393371584,83
Maryland,2008,43.8,35.2,42.6,70545,9.0303,5633597,48.4,37.6,61.2,5.801110731011026,64.6
Massachusetts,2008,47.099999999999994,38.1,42,65401,8.7534,6497967,48.5,38.7,82.5,8.329703140722074,72.6
Michigan,2008,45.1,24.7,33.1,48591,6.4103,10003422,49.2,38,79.6,1.7671285443001947,55.7
Minnesota,2008,44.5,31.5,37.5,57288,7.4789,5220393,49.7,37.4,88.1,0.655607019726039,56.1
Mississippi,2008,47.8,19.4,30.1,37790,5.2617,2938618,48.6,35.5,59.7,0.6262436626157403,42.4
Missouri,2008,44.800000000000004,25,33.6,46867,6.1844,5911605,48.8,37.6,84.2,0.859914966766144,52.7
Montana,2008,44.9,27.1,33.8,43654,5.7966,967440,49.7,39.1,89.6,0.06646771124465757,51
Nebraska,2008,42.699999999999996,27.1,33.9,49693,6.2626,1783432,49.5,36.3,88.9,0.23216366957373732,46.1
